iter	Passed	Remaining
847	11207	2008
848	11219	1995
849	11232	1982
850	11246	1969
851	11261	1956
852	11274	1943
853	11287	1929
854	11301	1916
855	11314	1903
856	11325	1889
857	11337	1876
858	11349	1862
859	11361	1849
860	11374	1836
861	11388	1823
862	11401	1809
863	11413	1796
864	11427	1783
865	11438	1769
866	11452	1756
867	11465	1743
868	11478	1730
869	11491	1717
870	11501	1703
871	11514	1690
872	11527	1676
873	11540	1663
874	11551	1650
875	11563	1636
876	11575	1623
877	11589	1610
878	11600	1596
879	11614	1583
880	11627	1570
881	11640	1557
882	11654	1544
883	11666	1530
884	11679	1517
885	11693	1504
886	11706	1491
887	11719	1478
888	11731	1464
889	11745	1451
890	11758	1438
891	11769	1425
892	11780	1411
893	11793	1398
894	11806	1385
895	11819	1371
896	11832	1358
897	11846	1345
898	11859	1332
899	11871	1319
900	11883	1305
901	11895	1292
902	11908	1279
903	11921	1266
904	11935	1252
905	11947	1239
906	11961	1226
907	11974	1213
908	11988	1200
909	12001	1186
910	12016	1173
911	12029	1160
912	12044	1147
913	12057	1134
914	12070	1121
915	12081	1107
916	12093	1094
917	12106	1081
918	12118	1068
919	12130	1054
920	12141	1041
921	12154	1028
922	12164	1014
923	12176	1001
924	12187	988
925	12199	974
926	12211	961
927	12223	948
928	12236	935
929	12249	922
930	12261	908
931	12274	895
932	12287	882
933	12299	869
934	12311	855
935	12322	842
936	12334	829
937	12347	816
938	12359	802
939	12371	789
940	12384	776
941	12395	763
942	12407	750
943	12419	736
944	12433	723
945	12445	710
946	12458	697
947	12471	684
948	12484	670
949	12496	657
950	12510	644
951	12522	631
952	12535	618
953	12548	605
954	12561	591
955	12574	578
956	12586	565
957	12599	552
958	12612	539
959	12625	526
960	12637	512
961	12651	499
962	12663	486
963	12678	473
964	12689	460
965	12702	447
966	12716	433
967	12727	420
968	12739	407
969	12752	394
970	12765	381
971	12778	368
972	12792	354
973	12805	341
974	12818	328
975	12833	315
976	12846	302
977	12859	289
978	12873	276
979	12887	263
980	12899	249
981	12911	236
982	12924	223
983	12935	210
984	12947	197
985	12960	184
986	12971	170
987	12983	157
988	12995	144
989	13009	131
990	13022	118
991	13035	105
992	13045	91
993	13058	78
994	13071	65
995	13082	52
996	13094	39
997	13107	26
998	13120	13
999	13134	0
